yyyymm,Month,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
198904,4,309.64,10.13,25.0467,0.444435257,0.0865,0.0979,0.1061,0.0918,-0.022803093,0.007208333,0.006541292,0.0159,0.0213,0.00095561,-0.002644687,0.051707,0.049899
198905,5,320.52,10.249,25.1333,0.433441526,0.0843,0.0957,0.1046,0.0878,-0.028037605,0.007025,0.005686434,0.0401,0.0379,0.001073057,-0.002703956,0.041022,0.035451
198906,6,317.98,10.368,25.22,0.440562937,0.0815,0.091,0.1003,0.0821,-0.023938158,0.006791667,0.002423263,0.055,0.0395,0.001429537,-0.002694326,-0.005611,-0.00794
198907,7,346.08,10.49,24.71,0.404035089,0.0788,0.0893,0.0987,0.0801,-0.028526557,0.006566667,0.002417405,0.0238,0.0178,0.001018823,-0.002575629,0.090053,0.088194
198908,8,351.45,10.612,24.2,0.39272706,0.079,0.0896,0.0988,0.0841,-0.024812143,0.006583333,0.001607717,-0.0259,-0.0163,0.001380458,-0.002667298,0.019853,0.015516
198909,9,349.15,10.734,23.69,0.39920975,0.0775,0.0901,0.0991,0.0847,-0.025736629,0.006458333,0.003210273,0.0019,0.004,0.000550205,-0.002756619,-0.004004,-0.006616
198910,10,340.36,10.841,23.4167,0.406414929,0.0764,0.0892,0.0981,0.081,-0.02433999,0.006366667,0.0048,0.0379,0.0276,0.00563595,-0.002548915,-0.023639,-0.025668
198911,11,345.99,10.948,23.1433,0.397225702,0.0769,0.0889,0.0981,0.0808,-0.027022798,0.006408333,0.002388535,0.0078,0.007,0.000844816,-0.002666404,0.020479,0.016641
198912,12,353.4,11.055,22.87,0.390454744,0.0763,0.0886,0.0982,0.0816,-0.012323269,0.006358333,0.001588562,-0.0006,0.0006,0.000923443,-0.002928834,0.022657,0.019988
199001,1,329.08,11.1427,22.47,0.414971396,0.0764,0.0899,0.0994,0.0865,-0.013791823,0.006366667,0.010309278,-0.0343,-0.0191,0.002892101,-0.002860195,-0.067661,-0.069407
199002,2,331.89,11.2303,22.07,0.40917309,0.0774,0.0922,0.1014,0.0876,-0.011625552,0.00645,0.004709576,-0.0025,-0.0012,0.001008572,-0.002673868,0.013381,0.008986
199003,3,339.94,11.318,21.67,0.471333956,0.079,0.0937,0.1021,0.0889,-0.010275298,0.006583333,0.00546875,-0.0044,-0.0011,0.001032254,-0.002364162,0.026588,0.02436
199004,4,330.8,11.433,21.5333,0.480284256,0.0777,0.0946,0.103,0.0924,-0.010132832,0.006475,0.001554002,-0.0202,-0.0191,0.000966789,-0.002323711,-0.024504,-0.026508
199005,5,361.23,11.548,21.3967,0.443569974,0.0774,0.0947,0.1041,0.0883,-0.001961041,0.00645,0.002327386,0.0415,0.0385,0.001361474,-0.002431405,0.097419,0.092408
199006,6,358.02,11.663,21.26,0.442949432,0.0773,0.0926,0.1022,0.0864,-0.00047405,0.006441667,0.005417957,0.023,0.0216,0.001350807,-0.002534271,-0.006754,-0.008921
199007,7,356.15,11.72,21.42,0.439212447,0.0762,0.0924,0.102,0.086,0.004918356,0.00635,0.003849115,0.0107,0.0102,0.001298437,-0.003474016,-0.004454,-0.006508
199008,8,322.56,11.777,21.58,0.488073563,0.0745,0.0941,0.1041,0.092,0.001475764,0.006208333,0.009202454,-0.0419,-0.0292,0.005827787,-0.003883251,-0.090801,-0.094897
199009,9,306.05,11.834,21.74,0.520289666,0.0736,0.0956,0.1064,0.0914,0.00139012,0.006133333,0.008358663,0.0117,0.0091,0.001984821,-0.003259189,-0.048959,-0.051213
199010,10,304,11.918,21.6067,0.522451921,0.0717,0.0953,0.1074,0.0898,-0.000452674,0.005975,0.006028636,0.0215,0.0132,0.004492789,-0.002621133,-0.003597,-0.00611
199011,11,322.22,12.002,21.4733,0.498505655,0.0706,0.093,0.1062,0.0858,0.000926907,0.005883333,0.002247191,0.0402,0.0285,0.002439904,-0.002632085,0.064561,0.059897
199012,12,330.22,12.086,21.34,0.48449686,0.0674,0.0905,0.1043,0.0844,-0.00182971,0.005616667,0,0.0187,0.0167,0.000794597,-0.002338233,0.027987,0.024954
199101,1,343.93,12.094,21.2067,0.4663078,0.0622,0.0904,0.1045,0.0837,0.000648015,0.005183333,0.005979073,0.013,0.015,0.003193592,-0.002249987,0.045001,0.043063
199102,2,367.07,12.102,21.0733,0.442720441,0.0594,0.0883,0.1007,0.0841,0.00117849,0.00495,0.001485884,0.003,0.0121,0.002431299,-0.002246686,0.071565,0.067371
199103,3,375.22,12.11,20.94,0.4571256,0.0591,0.0893,0.1009,0.0844,0.003261932,0.004925,0.00148368,0.0038,0.0108,0.001375058,-0.002470106,0.024354,0.022312
199104,4,375.35,12.1223,20.43,0.461239599,0.0565,0.0886,0.0994,0.0837,0.005741188,0.004708333,0.001481482,0.014,0.0138,0.002072789,-0.00232518,0.002268,0.000214
199105,5,389.83,12.1347,19.92,0.439966969,0.0546,0.0886,0.0986,0.0845,0.006799212,0.00455,0.00295858,0,0.0039,0.001585206,-0.002647003,0.04293,0.038759
199106,6,371.16,12.147,19.41,0.458243743,0.0557,0.0901,0.0996,0.086,0.014082845,0.004641667,0.002949853,-0.0063,-0.0018,0.001179879,-0.002382857,-0.045357,-0.047498
199107,7,387.81,12.1897,18.88,0.440356782,0.0558,0.09,0.0989,0.085,0.014677692,0.00465,0.001470588,0.0157,0.0167,0.001105341,-0.00216219,0.046526,0.044799
199108,8,395.43,12.2323,18.35,0.437639637,0.0533,0.0875,0.0965,0.0818,0.017176983,0.004441667,0.002936858,0.034,0.0275,0.002037667,-0.002069453,0.023885,0.019912
199109,9,387.86,12.275,17.82,0.441531837,0.0522,0.0861,0.0951,0.079,0.022992495,0.00435,0.004392387,0.0303,0.0271,0.00047469,-0.001770907,-0.016861,-0.019061
199110,10,392.46,12.251,17.2033,0.434003454,0.0499,0.0855,0.0949,0.0791,0.025218835,0.004158333,0.001457726,0.0054,0.0043,0.001125638,-0.002187142,0.013458,0.011899
199111,11,375.22,12.227,16.5867,0.46015449,0.0456,0.0848,0.0945,0.0789,0.030383867,0.0038,0.002911208,0.0082,0.0106,0.002049026,-0.001427475,-0.040214,-0.043973
199112,12,417.09,12.203,15.97,0.420344417,0.0407,0.0831,0.0926,0.073,0.031537634,0.003391667,0.000725689,0.0581,0.0436,0.002049522,-0.001253216,0.114089,0.111476
199201,1,408.79,12.2433,16.0433,0.413229679,0.038,0.082,0.0913,0.0776,0.031664135,0.003166667,0.001450326,-0.0324,-0.0173,0.000872455,-0.001272377,-0.018348,-0.019654
199202,2,412.7,12.2837,16.1167,0.407630525,0.0384,0.0829,0.0923,0.0777,0.033282805,0.0032,0.003620565,0.0051,0.0096,0.000913236,-0.001330752,0.012865,0.009442
199203,3,403.69,12.324,16.19,0.402106034,0.0404,0.0835,0.0925,0.0797,0.041626698,0.003366667,0.005050505,-0.0094,-0.0073,0.00046976,-0.001250872,-0.01947,-0.021873
199204,4,414.95,12.3227,16.4767,0.387303472,0.0375,0.0833,0.0921,0.0803,0.038392185,0.003125,0.00143575,0.0016,0.0016,0.001661052,-0.001503195,0.028614,0.027157
199205,5,415.35,12.3213,16.7633,0.382998516,0.0363,0.0828,0.0913,0.0781,0.037079879,0.003025,0.001433692,0.0243,0.0254,0.000690033,-0.001587793,0.00485,0.001087
199206,6,408.14,12.32,17.05,0.392042354,0.0366,0.0822,0.0905,0.0765,0.042934869,0.00305,0.003579098,0.02,0.0156,0.000752919,-0.001273507,-0.01503,-0.017545
199207,7,424.21,12.345,17.38,0.3833487,0.0321,0.0807,0.0884,0.0726,0.041359126,0.002675,0.0021398,0.0398,0.0308,0.000897481,-0.001363662,0.040924,0.039465
199208,8,414.03,12.37,17.71,0.399405037,0.0313,0.0795,0.0865,0.0725,0.04282569,0.002608333,0.002846975,0.0067,0.009,0.000369559,-0.001431469,-0.020615,-0.024214
199209,9,417.8,12.395,18.04,0.397656972,0.0291,0.0792,0.0862,0.071,0.04113345,0.002425,0.002838893,0.0185,0.0099,0.000872212,-0.001076155,0.01134,0.008916
199210,10,418.68,12.3917,18.39,0.403251178,0.0286,0.0799,0.0884,0.0741,0.040971526,0.002383333,0.00353857,-0.0198,-0.0156,0.000944149,-0.000902112,0.004796,0.003455
199211,11,431.35,12.3883,18.74,0.393626459,0.0313,0.081,0.0896,0.0748,0.03786982,0.002608333,0.001410437,0.001,0.0069,0.0005081,-0.000836058,0.033794,0.030069
199212,12,435.71,12.385,19.09,0.394109614,0.0322,0.0798,0.0881,0.0726,0.038713486,0.002683333,-0.000704225,0.0246,0.0228,0.00047154,-0.001111524,0.01338,0.011197
199301,1,438.78,12.4163,19.34,0.393048105,0.03,0.0791,0.0867,0.0725,0.041639098,0.0025,0.004933051,0.028,0.025,0.000348846,-0.001552239,0.007282,0.005964
199302,2,443.38,12.4477,19.59,0.385960197,0.0293,0.0771,0.0839,0.0698,0.04061536,0.002441667,0.003506311,0.0354,0.0256,0.001146872,-0.001479341,0.013526,0.010361
199303,3,451.67,12.479,19.84,0.333613526,0.0295,0.0758,0.0815,0.0702,0.036995023,0.002458333,0.00349406,0.0021,0.0025,0.001004723,-0.001669026,0.021202,0.018578
199304,4,440.19,12.4937,19.67,0.334349806,0.0287,0.0746,0.0814,0.0701,0.039699627,0.002391667,0.002785515,0.0072,0.0052,0.001004798,-0.001446284,-0.024519,-0.02578
199305,5,450.19,12.5083,19.5,0.324882422,0.0296,0.0743,0.0821,0.0701,0.040143319,0.002466667,0.001388889,0.0047,0.002,0.000817304,-0.001650007,0.026259,0.022549
199306,6,450.53,12.523,19.33,0.325931248,0.0307,0.0733,0.0807,0.0668,0.041047237,0.002558333,0.001386963,0.0449,0.0293,0.000573817,-0.00174797,0.003466,0.001095
199307,7,448.13,12.5217,19.69,0.323777031,0.0304,0.0717,0.0793,0.0656,0.040899411,0.002533333,0,0.0191,0.01,0.000608962,-0.001390471,-0.004593,-0.005909
199308,8,463.56,12.5203,20.05,0.313864983,0.0302,0.0685,0.076,0.0623,0.040165318,0.002516667,0.002770083,0.0434,0.0287,0.000281578,-0.001252164,0.037431,0.033957
199309,9,458.93,12.519,20.41,0.322351822,0.0295,0.0666,0.0734,0.0627,0.041746162,0.002458333,0.002071823,0.0005,0.0043,0.000470665,-0.001153731,-0.007582,-0.009842
199310,10,467.83,12.5383,20.9033,0.311362833,0.0302,0.0667,0.0731,0.0623,0.040379708,0.002516667,0.004135079,0.0096,0.0051,0.000314205,-0.00105483,0.019884,0.01859
199311,11,461.79,12.5577,21.3967,0.311079411,0.031,0.0693,0.0766,0.0651,0.043852026,0.002583333,0.000686342,-0.0259,-0.0188,0.000576328,-0.001051695,-0.008655,-0.012084
199312,12,466.45,12.577,21.89,0.305267223,0.0306,0.0693,0.0769,0.0654,0.045744702,0.00255,0,0.002,0.0067,0.000269686,-0.001012497,0.012646,0.010617
199401,1,481.61,12.6203,22.1633,0.288058567,0.0298,0.0692,0.0765,0.0637,0.043686722,0.002483333,0.002743484,0.0257,0.0202,0.000423486,-0.000976077,0.033429,0.031954
199402,2,467.14,12.6637,22.4367,0.299058821,0.0325,0.0708,0.0776,0.0682,0.045058471,0.002708333,0.003419973,-0.045,-0.0286,0.001026088,-0.001135504,-0.027161,-0.030121
199403,3,445.77,12.707,22.71,0.307483805,0.035,0.0748,0.0813,0.0725,0.041913677,0.002916667,0.003408316,-0.0395,-0.0383,0.000892131,-0.001099839,-0.043456,-0.045728
199404,4,450.91,12.7497,23.54,0.303664786,0.0368,0.0788,0.0852,0.0745,0.039861085,0.003066667,0.001358696,-0.015,-0.0097,0.001373677,-0.000951628,0.012817,0.011477
199405,5,456.51,12.7923,24.37,0.297469476,0.0414,0.0799,0.0862,0.0759,0.039656264,0.00345,0.000678426,-0.0082,-0.0062,0.000750498,-0.00100851,0.016309,0.012559
199406,6,444.27,12.835,25.2,0.308417077,0.0414,0.0797,0.0865,0.0774,0.034009673,0.00345,0.003389831,-0.01,-0.0081,0.000797104,-0.000965722,-0.024762,-0.027113
199407,7,458.25,12.8643,25.91,0.296985381,0.0433,0.0811,0.088,0.0746,0.031220387,0.003608333,0.002702703,0.0363,0.0309,0.00032727,-0.000643094,0.032714,0.031381
199408,8,475.5,12.8937,26.62,0.285683819,0.0448,0.0807,0.0874,0.0761,0.028714619,0.003733333,0.004043127,-0.0086,-0.0031,0.000560379,-0.000974958,0.041341,0.03799
199409,9,462.71,12.923,27.33,0.290904659,0.0462,0.0834,0.0898,0.08,0.029012652,0.00385,0.002684564,-0.0331,-0.0265,0.000801876,-0.000839298,-0.02394,-0.026238
199410,10,472.35,13.0053,28.42,0.286071274,0.0495,0.0857,0.092,0.0809,0.026008852,0.004125,0.000669344,-0.0025,-0.005,0.001158422,-0.000771729,0.022619,0.021043
199411,11,453.69,13.0877,29.51,0.298992614,0.0529,0.0868,0.0932,0.0808,0.022924068,0.004408333,0.001337793,0.0066,0.0018,0.000836383,-0.000558816,-0.036248,-0.039423
199412,12,459.27,13.17,30.6,0.2915683,0.056,0.0846,0.091,0.0799,0.016595609,0.004666667,0,0.0161,0.0157,0.000704927,-0.000576007,0.014955,0.012419
199501,1,470.42,13.17,31.25,0.290853734,0.0571,0.0846,0.0908,0.078,0.015093677,0.004758333,0.004008016,0.0273,0.0256,0.000289389,-0.000779787,0.026,0.024348
199502,2,487.39,13.17,31.9,0.278730036,0.0577,0.0826,0.0885,0.0758,0.014532346,0.004808333,0.003992016,0.0287,0.0289,0.000472432,-0.000715516,0.039228,0.036328
199503,3,500.71,13.17,32.55,0.313876542,0.0573,0.0812,0.087,0.0755,0.014396524,0.004775,0.003313453,0.0091,0.0095,0.000484319,-0.000566771,0.029334,0.027179
199504,4,514.71,13.2337,33.1767,0.301994701,0.0565,0.0803,0.086,0.0745,0.013011827,0.004708333,0.00330251,0.0169,0.0175,0.000256928,-0.000626882,0.029395,0.027914
199505,5,533.4,13.2973,33.8033,0.292264254,0.0567,0.0765,0.082,0.0677,0.010736773,0.004725,0.001974984,0.079,0.0631,0.001011447,-0.000397684,0.039809,0.036454
199506,6,544.75,13.361,34.43,0.286429618,0.0547,0.073,0.079,0.067,0.008266237,0.004558333,0.001971091,0.0139,0.0079,0.000696799,-0.000267726,0.024155,0.022198
199507,7,562.06,13.4323,34.68,0.277160367,0.0542,0.0741,0.0804,0.0691,0.007057342,0.004516667,0,-0.0168,-0.0101,0.000773225,-0.000291092,0.033405,0.032023
199508,8,561.88,13.5037,34.93,0.283046135,0.054,0.0757,0.0819,0.0674,0.0091184,0.0045,0.002622951,0.0236,0.0214,0.000206741,-0.000137973,0.003495,0.000642
199509,9,584.41,13.575,35.18,0.272494998,0.0528,0.0732,0.0793,0.0663,0.006375744,0.0044,0.001962067,0.0175,0.0153,0.00038146,-0.000140216,0.042102,0.040182
199510,10,581.5,13.646,34.7733,0.274420245,0.0528,0.0712,0.0775,0.0641,0.012219365,0.0044,0.003263708,0.0294,0.0185,0.000487822,2.08E-05,-0.003442,-0.004864
199511,11,605.37,13.717,34.3667,0.257168852,0.0536,0.0702,0.0768,0.0623,0.016870705,0.004466667,-0.000650618,0.0249,0.0242,0.000546172,-7.80E-05,0.044179,0.041338
199512,12,615.93,13.788,33.96,0.255026383,0.0514,0.0682,0.0749,0.0603,0.015526865,0.004283333,-0.000651042,0.0272,0.0228,0.000820543,-0.000146604,0.017643,0.015809
199601,1,636.02,13.8933,33.9867,0.241877172,0.05,0.0681,0.0747,0.0609,0.01612788,0.004166667,0.005863192,-0.0011,0.0014,0.001383944,-5.31E-05,0.034861,0.033415
199602,2,640.43,13.9987,34.0133,0.237894737,0.0483,0.0699,0.0763,0.0659,0.016802823,0.004025,0.003238342,-0.0483,-0.0373,0.001267622,-0.000227855,0.010088,0.007689
199603,3,645.5,14.104,34.04,0.239299615,0.0496,0.0735,0.0803,0.0684,0.016892864,0.004133333,0.005164622,-0.021,-0.013,0.001741708,3.06E-05,0.009585,0.00786
199604,4,654.17,14.1603,34.33,0.240075806,0.0495,0.075,0.0819,0.0706,0.021127602,0.004125,0.003853565,-0.0165,-0.016,0.000981834,6.82E-05,0.015133,0.013857
199605,5,669.12,14.2167,34.62,0.236923516,0.0502,0.0762,0.083,0.0717,0.026394657,0.004183333,0.001919386,-0.0054,0.0005,0.00112531,-0.000254521,0.025257,0.02253
199606,6,670.63,14.273,34.91,0.236443725,0.0509,0.0771,0.084,0.0703,0.027192508,0.004241667,0.00063857,0.0203,0.0172,0.000394793,-0.00084789,0.004128,0.002562
199607,7,639.95,14.4033,35.2733,0.241819894,0.0515,0.0765,0.0835,0.0707,0.031111191,0.004291667,0.001914486,0.0018,0.001,0.002355153,-0.000470475,-0.044441,-0.046048
199608,8,651.99,14.5337,35.6367,0.238061118,0.0505,0.0746,0.0818,0.0726,0.030862708,0.004208333,0.001910828,-0.0139,-0.007,0.001121505,-0.000352236,0.021928,0.019589
199609,9,687.31,14.664,36,0.227297318,0.0509,0.0766,0.0835,0.0704,0.029552418,0.004241667,0.00317864,0.029,0.0259,0.000686235,-0.000538694,0.056035,0.054112
199610,10,705.27,14.7423,36.91,0.221747656,0.0499,0.0739,0.0807,0.0671,0.025624866,0.004158333,0.003168568,0.0404,0.0361,0.000606628,-0.00053145,0.026798,0.025348
199611,11,757.02,14.8207,37.82,0.205007919,0.0503,0.071,0.0779,0.0643,0.022037949,0.004191667,0.001895136,0.0351,0.0263,0.000703722,-0.000613925,0.076455,0.074218
199612,12,740.74,14.899,38.73,0.20734273,0.0491,0.072,0.0789,0.0673,0.024096962,0.004091667,0,-0.0256,-0.0186,0.001709075,-0.000396755,-0.019815,-0.021518
199701,1,786.16,14.9523,39.2333,0.196240103,0.0503,0.0742,0.0809,0.0689,0.024379322,0.004191667,0.003152585,-0.0079,-0.0028,0.001360087,-0.000794129,0.062779,0.061689
199702,2,790.82,15.0057,39.7367,0.194395411,0.0501,0.0731,0.0794,0.0694,0.022884351,0.004175,0.003142678,0.0005,0.0028,0.00147476,-0.001302906,0.007752,0.0058
199703,3,757.12,15.059,40.24,0.214780202,0.0514,0.0755,0.0818,0.0723,0.021119585,0.004283333,0.002506266,-0.0252,-0.0221,0.002001484,-0.001308306,-0.041653,-0.04331
199704,4,801.34,15.093,40.3433,0.201741048,0.0516,0.0773,0.0834,0.0705,0.016916245,0.0043,0.00125,0.0255,0.0184,0.003005057,-0.000871922,0.060274,0.059016
199705,5,848.28,15.127,40.4467,0.192878588,0.0505,0.0758,0.082,0.0701,0.013265768,0.004208333,-0.00062422,0.0097,0.0128,0.00200742,-0.000878407,0.061401,0.059272
199706,6,885.14,15.161,40.55,0.184287615,0.0493,0.0741,0.0802,0.0688,0.010848342,0.004108333,0.001249219,0.0195,0.0187,0.001974443,-0.000662098,0.044103,0.042762
199707,7,954.29,15.2183,40.58,0.171964943,0.0505,0.0714,0.0775,0.0637,0.011608465,0.004208333,0.001247661,0.0626,0.0528,0.002010166,-0.000627257,0.080388,0.078977
199708,8,899.47,15.2757,40.61,0.185505404,0.0514,0.0722,0.0782,0.0672,0.012892663,0.004283333,0.001869159,-0.0317,-0.024,0.002464728,-0.000430921,-0.05497,-0.056458
199709,9,947.28,15.333,40.64,0.177967857,0.0495,0.0715,0.077,0.0649,0.014651817,0.004125,0.002487562,0.0316,0.0226,0.002626512,-0.00074286,0.053886,0.052408
199710,10,914.62,15.3877,40.3333,0.190000677,0.0497,0.07,0.0757,0.0623,0.016281814,0.004141667,0.00248139,0.0341,0.0191,0.009363708,-0.000599239,-0.032605,-0.03373
199711,11,955.4,15.4423,40.0267,0.180746299,0.0514,0.0687,0.0742,0.0614,0.015687658,0.004283333,-0.000618812,0.0148,0.0101,0.00266212,-0.000791843,0.046321,0.044625
199712,12,970.43,15.497,39.72,0.178800884,0.0516,0.0676,0.0732,0.0602,0.015579464,0.0043,-0.00123839,0.0184,0.0163,0.002249391,-0.000888779,0.017147,0.0157
199801,1,980.28,15.545,39.66,0.178840273,0.0504,0.0661,0.0719,0.0589,0.013759498,0.0042,0.001859888,0.02,0.0137,0.00246889,-0.000700455,0.011994,0.01108
199802,2,1049.34,15.593,39.6,0.165463097,0.0509,0.0667,0.0725,0.0599,0.012074948,0.004241667,0.001856436,-0.0072,-0.0007,0.001053364,-0.000804846,0.071956,0.070303
199803,3,1101.75,15.641,39.54,0.181140396,0.0503,0.0672,0.0732,0.0602,0.016505986,0.004191667,0.001852996,0.0025,0.0038,0.001136788,-0.00073979,0.051336,0.050104
199804,4,1111.75,15.744,39.35,0.175872922,0.0495,0.0669,0.0733,0.0604,0.016427031,0.004125,0.001849568,0.0026,0.0053,0.001614758,-0.000955964,0.011275,0.010232
199805,5,1090.82,15.847,39.16,0.179102206,0.05,0.0669,0.073,0.0592,0.019098342,0.004166667,0.001846154,0.0182,0.0167,0.000958824,-0.00089152,-0.017674,-0.019206
199806,6,1133.84,15.95,38.97,0.178060606,0.0498,0.0653,0.0713,0.0576,0.024030645,0.00415,0.001228501,0.0228,0.0115,0.00209733,-0.001168848,0.04097,0.0398
199807,7,1120.67,16.0143,38.6767,0.179438109,0.0496,0.0655,0.0715,0.0584,0.025362412,0.004133333,0.001226994,-0.004,-0.0056,0.002228143,-0.002304525,-0.010109,-0.011112
199808,8,957.28,16.0787,38.3833,0.211432092,0.049,0.0652,0.0714,0.0547,0.028529818,0.004083333,0.00122549,0.0465,0.0089,0.009334017,-0.001856856,-0.143124,-0.144504
199809,9,1017.01,16.143,38.09,0.203248404,0.0461,0.064,0.0709,0.0517,0.024092497,0.003841667,0.00122399,0.0395,0.0413,0.009970951,-0.001633908,0.063176,0.061612
199810,10,1098.67,16.1603,37.9633,0.185519077,0.0396,0.0637,0.0718,0.054,0.020749168,0.0033,0.002444988,-0.0218,-0.019,0.005171595,-0.001374851,0.080111,0.079144
199811,11,1163.63,16.1777,37.8367,0.174846845,0.0441,0.0641,0.0734,0.0535,0.022012607,0.003675,0,0.0097,0.027,0.001936735,-0.00121526,0.062164,0.060685
199812,12,1229.23,16.195,37.71,0.173611315,0.0439,0.0622,0.0723,0.0542,0.020063813,0.003658333,-0.000609756,-0.0032,0.001,0.003286907,-0.001033873,0.059673,0.058454
199901,1,1279.64,16.2797,37.9333,0.170320619,0.0434,0.0624,0.0729,0.0536,0.015593704,0.003616667,0.002440513,0.0121,0.0123,0.003335623,-0.001295993,0.0428,0.042
199902,2,1238.33,16.3643,38.1567,0.17127681,0.0444,0.064,0.0739,0.0587,0.018453648,0.0037,0.001217286,-0.052,-0.0401,0.00348213,-0.001172852,-0.031935,-0.033156
199903,3,1286.37,16.449,38.38,0.172897171,0.0444,0.0662,0.0753,0.0592,0.020676476,0.0037,0.003039514,-0.0008,0.0002,0.003213553,-0.001075351,0.038979,0.037774
199904,4,1335.18,16.4487,39.26,0.156825876,0.0429,0.0664,0.0748,0.0594,0.02518791,0.003575,0.007272727,0.0021,-0.0024,0.002726647,-0.001258082,0.037559,0.036771
199905,5,1301.84,16.4483,40.14,0.160231135,0.045,0.0693,0.0772,0.0615,0.025904113,0.00375,0,-0.0185,-0.0176,0.003085638,-0.00115228,-0.023159,-0.024833
199906,6,1372.71,16.448,41.02,0.154227447,0.0457,0.0723,0.0802,0.0627,0.018874173,0.003808333,0,-0.0078,-0.016,0.002409247,-0.001144629,0.054431,0.053398
199907,7,1328.72,16.5123,42,0.158796473,0.0455,0.0719,0.0795,0.0639,0.019373117,0.003791667,0.003008424,-0.0077,-0.0113,0.001611182,-0.001169595,-0.03022,-0.031084
199908,8,1320.41,16.5767,42.98,0.156243027,0.0472,0.074,0.0815,0.0649,0.018889232,0.003933333,0.00239952,-0.0053,-0.0026,0.002729877,-0.001055846,-0.004989,-0.006251
199909,9,1282.71,16.641,43.96,0.163684498,0.0468,0.0739,0.082,0.0646,0.020389721,0.0039,0.004787552,0.0084,0.0093,0.002704945,-0.000985703,-0.028079,-0.029257
199910,10,1362.93,16.658,45.3633,0.157690661,0.0486,0.0755,0.0838,0.0651,0.020455527,0.00405,0.001786778,-0.0012,0.0047,0.004875934,-0.00051504,0.064238,0.063512
199911,11,1388.91,16.675,46.7667,0.155545967,0.0507,0.0736,0.0815,0.0662,0.018289805,0.004225,0.00059453,-0.0061,-0.0024,0.001354258,0.000110711,0.020822,0.019547
199912,12,1469.25,16.692,48.17,0.147167259,0.052,0.0755,0.0819,0.0682,0.017899258,0.004333333,0,-0.0155,-0.0102,0.001148772,0.000064278,0.062579,0.061549
200001,1,1394.46,16.7153,49.0967,0.15465416,0.0532,0.0778,0.0833,0.0666,0.025371473,0.004433333,0.002970885,0.0228,-0.0021,0.005206354,0.000622372,-0.049606,-0.050273
200002,2,1366.42,16.7387,50.0233,0.167056433,0.0555,0.0768,0.0829,0.0646,0.027431807,0.004625,0.005924171,0.0264,0.0092,0.003000422,0.000404691,-0.017459,-0.018667
200003,3,1498.58,16.762,50.95,0.149973562,0.0569,0.0768,0.0837,0.0618,0.018301535,0.004741667,0.008244994,0.0367,0.0169,0.00667834,0.000184884,0.098492,0.097434
200004,4,1452.43,16.7427,51.2733,0.152600418,0.0566,0.0764,0.084,0.063,0.011962215,0.004716667,0.000584112,-0.0076,-0.0115,0.007941721,-0.000386942,-0.031585,-0.032308
200005,5,1420.6,16.7233,51.5967,0.155668731,0.0579,0.0799,0.089,0.064,0.009196379,0.004825,0.001167542,-0.0054,-0.0161,0.005185498,0.000008913,-0.022304,-0.023617
200006,6,1454.6,16.704,51.92,0.156777962,0.0569,0.0767,0.0848,0.0622,0.007141253,0.004741667,0.005247813,0.0244,0.0326,0.002359743,-0.000246743,0.026219,0.025497
200007,7,1430.83,16.585,52.5133,0.155674151,0.0596,0.0765,0.0835,0.0611,0.004732972,0.004966667,0.002320186,0.0173,0.0179,0.002065471,0.000007159,-0.012795,-0.013559
200008,8,1517.68,16.466,53.1067,0.146053064,0.0609,0.0755,0.0826,0.0594,0.004689132,0.005075,0,0.024,0.0135,0.001039275,-0.000277616,0.062594,0.061275
200009,9,1436.51,16.347,53.7,0.153789463,0.06,0.0762,0.0835,0.0612,0.004483376,0.005,0.005208333,-0.0157,0.0046,0.001599983,-0.000508488,-0.052088,-0.052795
200010,10,1429.4,16.3217,52.4667,0.149300789,0.0611,0.0755,0.0834,0.06,0.003757796,0.005091667,0.001727116,0.0187,0.0045,0.005568073,-0.001338953,-0.00412,-0.004829
200011,11,1314.95,16.2963,51.2333,0.157280893,0.0617,0.0745,0.0828,0.0576,0.001168596,0.005141667,0.000574713,0.0319,0.0263,0.003272437,-0.001852555,-0.078268,-0.079557
200012,12,1320.28,16.271,50,0.151851504,0.0577,0.0721,0.0802,0.0558,-0.002251218,0.004808333,-0.000574383,0.0243,0.027,0.005299359,-0.000524853,0.00572,0.004861
200101,1,1366.01,16.1717,48.48,0.150449666,0.0515,0.0715,0.0793,0.0562,-0.00318264,0.004291667,0.006321839,0.0005,0.0359,0.004941048,-0.00156505,0.032375,0.031555
200102,2,1239.94,16.0723,46.96,0.156070091,0.0488,0.071,0.0787,0.0549,-0.006845499,0.004066667,0.003997716,0.0191,0.0127,0.002528447,-0.002272846,-0.090952,-0.092131
200103,3,1160.33,15.973,45.44,0.133113551,0.0442,0.0698,0.0784,0.0559,-0.005201836,0.003683333,0.002275313,-0.0074,-0.0029,0.007139632,-0.001864067,-0.063706,-0.064587
200104,4,1249.46,15.8773,42.5567,0.122496901,0.0387,0.072,0.0807,0.0593,-0.00254298,0.003225,0.003972758,-0.0313,-0.0128,0.00742621,-0.001024579,0.077825,0.076981
200105,5,1255.82,15.7817,39.6733,0.120510188,0.0362,0.0729,0.0807,0.0594,-0.000248776,0.003016667,0.004522329,0.0037,0.0132,0.002536247,-0.001184099,0.00687,0.00533
